STATION ID,TIME,TWO WEEKS AHEAD,TEN DAYS AHEAD,ONE WEEK AHEAD,THREE DAYS AHEAD,ONE DAY AHEAD,FOUR AHEAD,THREE AHEAD,TWO AHEAD,ONE AHEAD,AVAILABLE BIKES,ONE LATER,TWO LATER,TARGET
21,2020-02-08 13:35:02,24,24,17,28,29,18,18,18,18,20,20.04,20.12,28
21,2020-02-08 13:40:02,26,24,16,27,28,18,18,18,18,21,21.02,21.1,29
21,2020-02-08 13:45:02,26,27,16,26,26,18,18,18,18,21,21.01,21.06,29
21,2020-02-08 13:50:02,26,27,16,24,27,18,18,17,17,22,22.0,22.06,29
21,2020-02-08 13:55:02,24,26,16,22,27,18,18,20,20,27,26.95,27.03,29
21,2020-02-08 14:00:02,25,25,17,21,27,18,17,21,21,27,26.96,27.06,29
21,2020-02-08 14:05:02,26,25,19,20,27,18,20,21,21,28,27.94,27.99,29
21,2020-02-08 14:10:02,26,26,19,21,28,17,21,22,22,29,28.96,29.02,29
21,2020-02-08 14:15:02,29,26,20,21,28,20,21,27,27,29,28.92,28.94,29
21,2020-02-08 14:20:02,29,27,20,21,27,21,22,27,27,29,28.89,28.87,28
21,2020-02-08 14:25:02,29,29,19,21,29,21,27,28,28,29,28.89,28.75,27
21,2020-02-08 14:30:02,30,29,20,21,29,22,27,29,29,29,28.87,28.72,27
21,2020-02-08 14:35:02,30,28,20,21,26,27,28,29,29,29,28.75,28.48,26
21,2020-02-08 14:40:02,28,28,20,21,27,27,29,29,29,29,28.75,28.46,26
21,2020-02-08 14:45:02,27,28,19,22,26,28,29,29,29,29,28.72,28.4,25
21,2020-02-08 14:50:02,27,26,20,22,26,29,29,29,29,28,27.72,27.38,25
21,2020-02-08 14:55:02,27,27,22,23,27,29,29,29,29,27,26.74,26.42,24
21,2020-02-08 15:00:02,29,28,23,23,27,29,29,29,29,27,26.75,26.44,24
21,2020-02-08 15:05:02,30,29,22,21,27,29,29,29,29,26,25.75,25.42,26
21,2020-02-08 15:10:02,30,29,22,20,27,29,29,28,28,26,25.74,25.41,26
21,2020-02-08 15:15:02,29,29,21,20,27,29,29,27,27,25,24.75,24.39,26
21,2020-02-08 15:20:02,29,28,21,20,27,29,28,27,27,25,24.75,24.42,26
21,2020-02-08 15:25:02,29,29,20,19,27,29,27,26,26,24,23.75,23.43,26
21,2020-02-08 15:30:02,29,30,19,20,27,28,27,26,26,24,23.77,23.47,26
21,2020-02-08 15:35:02,30,29,19,23,27,27,26,25,25,26,25.8,25.56,27
21,2020-02-08 15:40:02,30,29,18,25,27,27,26,25,25,26,25.8,25.57,27
21,2020-02-08 15:45:02,30,29,18,25,26,26,25,24,24,26,25.81,25.62,27
21,2020-02-08 15:50:02,30,30,18,9,25,26,25,24,24,26,25.75,25.46,27
21,2020-02-08 15:55:02,30,30,19,10,25,25,24,26,26,26,25.78,25.54,27
21,2020-02-08 16:00:02,28,30,19,10,26,25,24,26,26,26,25.78,25.55,22
21,2020-02-08 16:05:02,28,30,19,10,27,24,26,26,26,27,26.79,26.54,9
21,2020-02-08 16:10:02,28,30,19,10,26,24,26,26,26,27,26.78,26.52,11
21,2020-02-08 16:15:02,29,30,18,12,26,26,26,26,26,27,26.75,26.47,11
21,2020-02-08 16:20:02,29,30,19,13,26,26,26,26,26,27,26.76,26.49,12
21,2020-02-08 16:25:02,30,30,19,13,27,26,26,27,27,27,26.77,26.51,12
21,2020-02-08 16:30:02,30,30,19,13,30,26,26,27,27,22,21.83,21.55,13
21,2020-02-08 16:35:02,29,30,20,16,30,26,27,27,27,9,8.93,8.55,13
21,2020-02-08 16:40:02,29,29,19,17,30,26,27,27,27,11,10.91,10.55,13
21,2020-02-08 16:45:02,29,20,19,17,30,27,27,27,27,11,10.9,10.52,12
21,2020-02-08 16:50:02,29,19,21,17,30,27,27,22,22,12,11.89,11.53,12
21,2020-02-08 16:55:02,29,15,21,14,27,27,27,9,9,12,11.86,11.46,12
21,2020-02-08 17:00:02,28,16,20,13,27,27,22,11,11,13,12.86,12.58,12
21,2020-02-08 17:05:02,27,15,20,13,29,27,9,11,11,13,12.92,12.98,12
21,2020-02-08 17:10:02,27,13,21,14,29,22,11,12,12,13,13.01,13.11,12
21,2020-02-08 17:15:02,27,13,20,15,29,9,11,12,12,12,12.26,12.54,11
21,2020-02-08 17:20:02,25,12,20,15,29,11,12,13,13,12,12.21,12.43,11
21,2020-02-08 17:25:03,23,13,22,15,29,11,12,13,13,12,12.21,12.44,11
